chrom,gene_count,avg_gene_length,total_gene_length,chrom_size,gene_density,PC1,PC2,cluster
chr1,2842,57520.78524186227,443542775,248956422,11.415652495198538,3.110386413508425,1.6932941717587762,0
chr10,1116,90718.70809007506,326315193,133797422,8.340967885016498,0.2363155218269326,-0.27614276792923287,0
chr11,1675,59924.96627783669,282546216,135086622,12.399451368322763,0.6463215852393666,0.5460884074166819,0
chr12,1391,65143.62355361276,253343552,133275309,10.437042018038015,0.4212466831043541,0.1343608167079599,0
chr13,632,91510.75850567044,137174627,114364328,5.526198693704561,-0.34941884490714553,-0.9582281885077104,2
chr14,949,72645.10491803278,177254056,107043718,8.86553660253094,-0.24743051522178736,-0.42442906703439387,2
chr15,1012,62336.97734138973,165068316,101991189,9.922425749934144,-0.2826727930353104,-0.2934220843136529,2
chr16,1144,39920.299529042386,127146154,90338345,12.663504074598665,-0.3893021791211654,0.0190019432644916,2
chr17,1574,36718.60075,146874403,83257441,18.90521713248429,-0.28757989714002663,0.8740700015895625,0
chr18,430,127883.14353312303,162155826,80373285,5.350036395799923,-0.9203214261737569,-1.1999589420454395,2
chr19,1792,22785.08704974271,106269646,58617616,30.571014692920983,-0.8077497442190447,1.915253538007521,0
chr2,1821,89397.82769230769,493922998,242193529,7.518780569897059,2.1726701009906626,0.4480443702199991,0
chr20,781,48049.59263050154,93888904,64444167,12.119017691702028,-1.0163757859973372,-0.38962096558674914,2
chr21,413,64911.94592117324,70818933,46709983,8.841792984596033,-1.4492147573773255,-0.9965247342022029,2
chr22,643,45832.598795180726,76082114,50818468,12.652880444959496,-1.326160967823186,-0.49437407332073147,2
chr3,1563,101011.87372793355,486372172,198295559,7.882173498398923,1.414706838863586,0.18254012663224753,0
chr4,1089,95797.5356306457,286338834,190214555,5.7251139377846245,0.9384940473349991,-0.4274885111828696,0
chr5,1314,78389.73725151253,272090778,181538259,7.238143668657745,1.006470073739643,-0.11668626169866647,0
chr6,1454,72580.60993089328,283572443,170805979,8.512582571831398,0.9764241225637018,0.09502636980752736,0
chr7,1349,89425.53355447818,350458666,159345973,8.465855613433042,0.7466533712068012,-0.019742491473074206,0
chr8,1033,104540.02054091064,305361400,145138636,7.11733297534917,0.3279157765948504,-0.4304758882901554,0
chr9,1112,70643.8336062889,215675624,138394717,8.034988792238362,0.29543640177572966,-0.29705853733001353,0
chrM,1,71.0,71,16569,60.3536725209729,-4.428717850690919,2.401758468745278,1
chrX,1158,60219.927315753885,178130545,156040895,7.42113149248471,0.5612116639096755,-0.27868996787742245,0
chrY,143,68949.53830227743,33302627,57227415,2.498802365963935,-1.3493078389517223,-1.706595733357729,2
